Date,New Customers,Products Sold,PPC Incremental,Total Customers,Total Products,PPC Total,New SA Accounts,New CA Accounts,New Credit Cards,New Dmat A/c,Average SA Balance,Average CA Balance,New Loans,Repayments,Total Loans,Fresh SMA1,Fresh SMA2,Fresh NPA,Recovery
4/30/2015,387.0,434.0,1.1,75196.4,100221.8,1.3,176.0,68.0,26.0,21.0,13531.7,42024.0,9560000.0,5637000.0,1502236777.8,992050.0,387690.0,240300.0,23301.9
5/31/2015,421.0,450.0,1.1,75666.5,100734.2,1.3,169.0,73.0,28.0,30.0,13491.5,42234.4,8395000.0,5028000.0,1506457764.7,843750.0,312180.0,189120.0,18877.5
6/30/2015,381.0,433.0,1.1,76117.7,101229.8,1.3,176.0,64.0,27.0,28.0,13364.2,42108.6,9550000.0,5727000.0,1510850368.4,947650.0,383070.0,215340.0,20668.5
7/31/2015,494.0,541.0,1.1,76598.4,101769.4,1.3,211.0,78.0,34.0,38.0,13485.7,41952.0,9130000.0,5478000.0,1515231444.4,917200.0,365430.0,207180.0,19890.3
8/31/2015,452.0,494.0,1.1,77193.2,102423.6,1.3,184.0,81.0,37.0,25.0,13556.5,42386.8,8590000.0,5073000.0,1519948882.4,837600.0,303120.0,202050.0,19563.6
9/30/2015,462.0,507.0,1.1,77729.9,103011.8,1.3,212.0,81.0,28.0,36.0,13444.1,42108.6,9585000.0,5772000.0,1524331263.2,1020450.0,391560.0,236760.0,23823.6
10/31/2015,516.0,558.0,1.1,78293.4,103629.2,1.3,229.0,82.0,35.0,37.0,13467.2,42488.5,8425000.0,5025000.0,1528430470.6,844900.0,337560.0,200940.0,19699.8
11/30/2015,447.0,499.0,1.1,78926.3,104320.7,1.3,201.0,77.0,30.0,34.0,13409.0,42240.0,8860000.0,5493000.0,1532787111.1,874350.0,344640.0,219360.0,20566.2
12/31/2015,515.0,572.0,1.1,79483.4,104939.6,1.3,218.0,87.0,43.0,36.0,13589.4,42063.2,9370000.0,5580000.0,1536908473.7,988050.0,360930.0,208800.0,21665.7
1/31/2016,432.0,482.0,1.1,80111.8,105630.5,1.3,218.0,79.0,30.0,25.0,13418.5,42056.5,8415000.0,5121000.0,1541384529.4,832750.0,324210.0,178200.0,18104.4
2/29/2016,517.0,560.0,1.1,80702.8,106276.1,1.3,233.0,89.0,38.0,33.0,13553.1,42381.5,9605000.0,5640000.0,1545757578.9,1003750.0,377250.0,239970.0,23268.0
3/31/2016,535.0,585.0,1.1,81188.7,106814.4,1.3,246.0,85.0,39.0,31.0,13553.1,42245.1,9365000.0,5835000.0,1549863052.6,938350.0,371700.0,242310.0,25202.1
4/30/2016,404.0,450.0,1.1,81798.1,107480.4,1.3,183.0,66.0,33.0,30.0,13434.7,42107.3,8395000.0,5103000.0,1554096705.9,847350.0,347820.0,204150.0,21242.4
5/31/2016,489.0,540.0,1.1,82393.8,108127.7,1.3,218.0,83.0,31.0,24.0,13447.3,42240.0,9140000.0,5478000.0,1558358166.7,935400.0,350790.0,244650.0,24926.1
6/30/2016,501.0,550.0,1.1,83046.2,108841.1,1.3,205.0,80.0,38.0,34.0,13455.0,42072.0,8830000.0,5397000.0,1562693333.3,906100.0,363120.0,215760.0,22207.2
7/31/2016,405.0,449.0,1.1,83657.4,109506.4,1.3,190.0,71.0,29.0,27.0,13434.7,42132.7,8535000.0,5019000.0,1566964058.8,767850.0,321720.0,200490.0,18793.8
8/31/2016,368.0,424.0,1.2,84129.6,110040.2,1.3,168.0,67.0,28.0,25.0,13436.8,41994.9,9460000.0,5823000.0,1571282000.0,990300.0,361860.0,224520.0,20817.9
9/30/2016,317.0,357.0,1.1,84584.4,110555.2,1.3,134.0,56.0,20.0,24.0,13524.0,42183.5,8455000.0,5184000.0,1575629294.1,836950.0,332340.0,205770.0,20878.5
10/31/2016,491.0,528.0,1.1,85119.7,111146.9,1.3,213.0,83.0,27.0,31.0,13410.4,42183.5,8435000.0,5049000.0,1579792882.4,834000.0,350850.0,216540.0,21065.7
11/30/2016,378.0,426.0,1.1,85701.1,111776.7,1.3,175.0,65.0,26.0,22.0,13509.5,41813.1,9415000.0,5760000.0,1584229052.6,917500.0,372810.0,226770.0,22578.6
12/31/2016,427.0,467.0,1.1,86178.7,112303.6,1.3,183.0,67.0,24.0,31.0,13467.2,41980.2,8445000.0,5133000.0,1588418823.5,841000.0,336810.0,208500.0,22088.7
