Date,NewCustomers,ProductsSold,PPC-Incremental,TotalCustomers,TotalProducts,PPC-Total,NewSAAccounts,NewCAAccounts,NewCreditCards,NewDmatA/c,AverageSABalance,AverageCABalance,NewLoans,Repayments,Total Loans,Fresh SMA1,Fresh SMA2,Fresh NPA,Recovery
4/1/2015, 8.0 , 10.0 , 1.3 ," 75,008.0 "," 100,010.0 ",1.333324445,5,1,1,0," 13,524.0 ",41904,1080000,327000,1500753000,118800,26160,16350,1635
4/2/2015, 1.0 , 3.0 , 3.0 ," 75,009.0 "," 100,013.0 ",1.333346665,1,0,0,0," 13,524.0 ",41040,515000,294000,1500974000,61800,20580,14700,1617
4/3/2015, 36.0 , 39.0 , 1.1 ," 75,045.0 "," 100,052.0 ",1.333226731,19,8,3,4," 13,248.0 ",41472,455000,327000,1501102000,45500,19620,13080,1308
4/6/2015, 2.0 , 6.0 , 3.0 ," 75,047.0 "," 100,058.0 ",1.33327115,2,1,0,0," 13,800.0 ",42336,470000,324000,1501248000,47000,22680,9720,874.8
4/7/2015, 37.0 , 41.0 , 1.1 ," 75,084.0 "," 100,099.0 ",1.333160194,16,6,2,3," 13,524.0 ",41040,465000,282000,1501431000,41850,22560,14100,1410
4/8/2015, 36.0 , 38.0 , 1.1 ," 75,120.0 "," 100,137.0 ",1.333027157,16,8,2,1," 13,248.0 ",41472,465000,312000,1501584000,37200,24960,12480,998.4
4/9/2015, 38.0 , 41.0 , 1.1 ," 75,158.0 "," 100,178.0 ",1.332898693,13,7,4,1," 13,110.0 ",41040,455000,324000,1501715000,50050,25920,12960,1296
4/10/2015, 24.0 , 27.0 , 1.1 ," 75,182.0 "," 100,205.0 ",1.332832327,10,5,2,1," 13,800.0 ",42768,535000,303000,1501947000,58850,24240,15150,1363.5
4/13/2015, 14.0 , 18.0 , 1.3 ," 75,196.0 "," 100,223.0 ",1.332823554,6,4,1,0," 13,800.0 ",42768,450000,318000,1502079000,45000,25440,15900,1431
4/14/2015, 14.0 , 14.0 , 1.0 ," 75,210.0 "," 100,237.0 ",1.332761601,5,2,0,0," 13,800.0 ",42336,545000,318000,1502306000,49050,22260,12720,1272
4/15/2015, 6.0 , 8.0 , 1.3 ," 75,216.0 "," 100,245.0 ",1.332761646,3,1,0,0," 13,524.0 ",42336,465000,315000,1502456000,55800,18900,12600,1386
4/16/2015, 49.0 , 52.0 , 1.1 ," 75,265.0 "," 100,297.0 ",1.332584867,18,9,3,3," 13,800.0 ",42336,485000,321000,1502620000,58200,22470,12840,1540.8
4/17/2015, 16.0 , 21.0 , 1.3 ," 75,281.0 "," 100,318.0 ",1.332580598,9,2,2,1," 13,110.0 ",42768,545000,327000,1502838000,49050,16350,13080,1046.4
4/20/2015, 10.0 , 11.0 , 1.1 ," 75,291.0 "," 100,329.0 ",1.332549707,5,2,0,1," 13,386.0 ",42768,460000,324000,1502974000,46000,16200,12960,1166.4
